,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
826,SACHINTAK55,"#BIGOBASKET #FOODICPUNE #PUNEPANDA #AAJKUCHTOOFANIFOODI #PUNEPICITY #JOBIGMARKET #SALESACHIN #SALESUN ☀ #TEAMAGIC #SALESUPER 
 #MAGICUSTOMERS #HRIVER","Pune, India",2464,734,40393,1,@blitzkreigm #AajkuchToofaniFoodi po #Salesachin zomato new delivery bikes fastestdelivery I'm jo 👑 😜 #Zomato #ZomatoIPO #FMCG #Delivery 🚀 SCIENCE #Zomato #foodies #PUNEPANDA #bikes #IPO  #BREAKINGNEWS BREA👑 NEWS COO👑 #COOKING #AppStore👑 #Zomato #chefs #HORECA https://t.co/Lqj9gjWpfu,"['AajkuchToofaniFoodi', 'Salesachin', 'Zomato', 'ZomatoIPO', 'FMCG', 'Delivery', 'Zomato', 'foodies', 'PUNEPANDA', 'bikes', 'IPO', 'BREAKINGNEWS', 'COOKING', 'AppStore', 'Zomato', 'chefs', 'HORECA']"
827,faadoostocks,Systems Trader Faadoo Buy sell script | Entrepreneur | Engineer by profession Trader by heart ❤️ | Value Investor | Cryptos Defi and more,Mumbai,485,5208,3323,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
828,rajat_2048,The future belongs to those who believe in the beauty of their dreams.. Passionate about Equity Investing.. Keep Reading.. Keep Learning..,"Ahmedabad City, India",244,155,3119,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
829,AdiAPC,Keep on scrolling...,"Kolkata, India",400,70,9655,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
830,SACHINTAK55,"#BIGOBASKET #FOODICPUNE #PUNEPANDA #AAJKUCHTOOFANIFOODI #PUNEPICITY #JOBIGMARKET #SALESACHIN #SALESUN ☀ #TEAMAGIC #SALESUPER 
 #MAGICUSTOMERS #HRIVER","Pune, India",2464,734,40393,0,@Nithin0dha #AajkuchToofaniFoodi po #Salesachin zomato new delivery bikes fastestdelivery I'm jo 👑 😜 #Zomato #ZomatoIPO #FMCG #Delivery 🚀 SCIENCE #Zomato #foodies #PUNEPANDA #bikes #IPO  #BREAKINGNEWS BREA👑 NEWS COO👑 #COOKING #AppStore👑 #Zomato #chefs #HORECA https://t.co/Lqj9gjWpfu,"['AajkuchToofaniFoodi', 'Salesachin', 'Zomato', 'ZomatoIPO', 'FMCG', 'Delivery', 'Zomato', 'foodies', 'PUNEPANDA', 'bikes', 'IPO', 'BREAKINGNEWS', 'COOKING', 'AppStore', 'Zomato', 'chefs', 'HORECA']"
831,varora31,"BCom (Hons), LLB, MBA (Finance). @officialpu alumni (LLB). He/Him/His",,455,40,1422,0,"@zomato Are you satisfied with the over-subscription of IPO?
#ZomatoIPO https://t.co/jHb0uLOShg https://t.co/XYrTBzcAdV",['ZomatoIPO']
832,SACHINTAK55,"#BIGOBASKET #FOODICPUNE #PUNEPANDA #AAJKUCHTOOFANIFOODI #PUNEPICITY #JOBIGMARKET #SALESACHIN #SALESUN ☀ #TEAMAGIC #SALESUPER 
 #MAGICUSTOMERS #HRIVER","Pune, India",2464,734,40393,0,@deepigoyal @zomato #AajkuchToofaniFoodi po #Salesachin zomato new delivery bikes fastestdelivery I'm jo 👑 😜 #Zomato #ZomatoIPO #FMCG #Delivery 🚀 SCIENCE #Zomato #foodies #PUNEPANDA #bikes #IPO  #BREAKINGNEWS BREA👑 NEWS COO👑 #COOKING #AppStore👑 #Zomato #chefs #HORECA https://t.co/Lqj9gjWpfu,"['AajkuchToofaniFoodi', 'Salesachin', 'Zomato', 'ZomatoIPO', 'FMCG', 'Delivery', 'Zomato', 'foodies', 'PUNEPANDA', 'bikes', 'IPO', 'BREAKINGNEWS', 'COOKING', 'AppStore', 'Zomato', 'chefs', 'HORECA']"
833,Raghuram1783,"Software professional 💻

I am Stockative

💲💲I am Long Term - Value Investor 💲💲

My Life Style is better than Mr Warren Buffett 😊","Hyderabad, India",149,68,1072,0,"This is height next level  FOMO
Dividend yield mutual fund investing in a mature  StartUp 

#ZomatoIPO
#Zomato https://t.co/cuN2LrxwLx","['ZomatoIPO', 'Zomato']"
834,gagan_priya,"Proud Indian. Chartered Financial Analyst,  Financial Research professional, Avid reader, Culture and History enthusiast, Politics and Economy enthusiast.","New Delhi, India",339,201,10310,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
835,SachinP30008902,beliver of process...,,298,8,73,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
836,abdul7645sayyed,foreign medical graduate #YSMUARMENIA,"New Delhi, Delhi",261,120,59068,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
837,nikhil_dce,,,570,151,4928,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
838,panakanti,Trained as a  vitreo retinal surgeon. Wannabe writer. Believe in the axiom  Hope is a risk that must be taken .,India,1017,426,39977,23,"Massiveeeeee IPO bids in the #ZomatoIPO! 

A 9350 Cr IPO received bids worth Rs 209,097 Cr

QIB - 54.7 times
NII - 34.80 times
Retail - 7.87 times
Employee - 0.62 times (Interesting) 

That's equal to 2x the total market capitalization of listed Hotels and QSRs! https://t.co/49lVipMw1O",['ZomatoIPO']
839,shahfahadhusami,"Founder of @AdamsGenetics 
Nutritionist,
#Sports Nutrition
#Nutrigenetics 
#DNA Testing","Noida, India",2939,1003,11508,0,"#ZomatoIPO is a big hope of Indian start-up success. Best wishes @deepigoyal for blockbuster listing. 
@zomatoin",['ZomatoIPO']
840,HBKodali,#ITC,,133,6,1259,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
841,MandakiniGuptaM,"Doing PHD in Canada in Advanced Physics.
Working as a Marketing Analyst for XELOXO Group part time.",Canada,2163,495,3937,0,"#RelianceRetail #ZomatoIPOLoss
#ZomatoIPO #Zomato

Penny stocks of Anil Ambani Reliance gave 400% returns in just 6 months...Check details here..

https://t.co/4h9UTgFTrd https://t.co/8pYWmYr6qv","['RelianceRetail', 'ZomatoIPOLoss', 'ZomatoIPO', 'Zomato']"
842,anshul_dave,Investment Banker | Mentor for #startups |  CEO @oceans_bridge | #AngelInvestor | #ValueInvestor| Yoga & Meditation,India,806,2793,23319,4,"Here are my 2 cents on the #ZomatoIPO 
 #Zomato has a fabulous presence and penetration Pan #India especially the tier 3&amp;4 cities where families are ordering atleast 2-3 times a week. They have been instrumental in bringing a behavioral change the way #Indians eat.
1/2","['ZomatoIPO', 'Zomato', 'India', 'Indians']"
843,ashishshetty89,,mumbai,179,2,183,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
844,riteshskedia,Chartered Accountant by Qualification. Investment Banker by Profession. Athlete by Passion. Tweets are personal,"Mumbai, India",380,79,1212,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
845,IMTiTo171,"Confused Introspector, Marketer of Beauty to Toilet Paper, Diver, Hiker, Indoctrinated Cat Lover. Views my own",Kuala Lumpur City,881,216,73,0,@TheKenWeb couldn't agree more. Great article! #ZomatoIPO  #Zomato #unicornIPO https://t.co/mPVC6SN804,"['ZomatoIPO', 'Zomato', 'unicornIPO']"
846,KhamoshVIVEK,"Fan of Keynes and Kahneman. Studied Economics and Finance. Worked in a bank, securities firm and IT company.Teach occasionally, read regularly.",Mumbai,50,442,11619,0,"QIBs and HNIs have made #ZomatoIPO grand success and not millennials, as some section of media and social media started mentioning. Subscription of employee quota is a surprise.",['ZomatoIPO']
847,Money9Live,"India's first multi-lingual digital news platform for personal finance is here!
A TV9 Network service
#Money9Live #FinancialisingIndia #BatweKiBaat",,0,3940,8413,0,"#ZomatoIPO subscribed 38.25 times on final day. Here's the round-up of the buzz

#StockMarkets | #Stocks | #IPO | #StocksInFocus 

https://t.co/zKxMlEqJV1","['ZomatoIPO', 'StockMarkets', 'Stocks', 'IPO', 'StocksInFocus']"
848,rohitsunnygarg,"stock broker, deals in mutual funds and all kinds of insurance, love to read","Bathinda, India",1364,133,2709,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
849,iamakaash,"nothing exciting.
I Follow Only The Best.",Industan,147,23,869,0,"Attracting all the moths 🦋 into fire 🔥
#ZomatoIPO
@zerodhaonline 
@Nithin0dha 
#SEBI #Nifty #banknifty #fintwit 
@deepigoyal @suchetadalal @WonderWoman991 @Swamy39 @_Harsh_Mehta_ @kapil_tandon https://t.co/ajsJCD8V5Z","['ZomatoIPO', 'SEBI', 'Nifty', 'banknifty', 'fintwit']"
850,_ManojBharadwaj,Senior Data Analyst | Machine Learning Enthusiast | Deep Learning | AI | Python 📊💡,"Bengaluru, India",41,43,221,0,"@zomato Orders Placed ✅
Waiting for Allotment 🥺🙏
#ZomatoIPO",['ZomatoIPO']
851,kushtwit,"Scrum master@Capgemini ,Ace investor,Traveller,BITian, Ranchiite..",Ranchi-Noida-Bangalore,1575,78,2714,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
852,rithikmanoj,Student of Life | 🇮🇳,Local,4607,422,45683,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
853,29_945N_78_163E,,,314,194,6463,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
854,arorasid,Proud Indian... Tweets-Personal,"Navi Mumbai, India",684,183,19915,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
855,twitkishore,please give me some suggestions.,mumbai ,535,133,6458,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
856,im_mumbiker,"।। वंदे मातरम् ।।

RT =/= endorsement",,122,139,4641,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
857,dubeyyjd,"Indian, B. Com. & MBA in Finance from Bharati Vidypeeth University, Pune. BJP Member. Firm believer in BJP ideology & Sri Narendra Modi. Views r personal.","Pune, India",2800,280,3633,10,"Can Zomato be the most subscribed IPO of 2021?😉

#tradebrains #ZomatoIPO https://t.co/XBmvUvHyMy","['tradebrains', 'ZomatoIPO']"
858,compoundingtalk,Business Analyst,India,107,240,207,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
859,golmal101,No bio.....just physics,"19.21N, 72.97E",479,194,896,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
860,imALohani,Football lover CA aspirant,,334,21,128,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
861,NawaniSanket,Making life Consummated.,"Mumbai, India",17,21,204,0,I would rather tip the money to the #Zomato delivery guy instead of investing in #ZomatoIPO since the former might be more impacting(obviously in the long run).,"['Zomato', 'ZomatoIPO']"
862,CAPoddar,CA by profession from the textile centre of ichalkaranji. Active committe member of various social and professional bodies. Insolvency Professional,Ichalkaranji (Hatkanangale),190,125,656,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
863,chinmayicysun,"How am I doing?
I'm living my dream BRU! 😇",INDIA.,1270,299,9619,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
864,dhyan_wealth,Meditation is Life l Master's in Engg | Banker | Investor | Reader | Cricketcrazy | Hardcore Vegetarian |,"Hisar & New Delhi, India",3131,1668,3346,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
